Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,10/10/2014,2316
Cumulative number of confirmed Ebola deaths,Sierra Leone,10/10/2014,753
Cumulative number of probable Ebola deaths,Sierra Leone,10/10/2014,142
Cumulative number of suspected Ebola deaths,Sierra Leone,10/10/2014,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,10/10/2014,930
Cumulative number of confirmed Ebola deaths,Nigeria,10/10/2014,7
Cumulative number of probable Ebola deaths,Nigeria,10/10/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,10/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,10/10/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,10/10/2014,0
Cumulative number of probable Ebola deaths,Senegal,10/10/2014,0
Cumulative number of suspected Ebola deaths,Senegal,10/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,10/10/2014,0
Cumulative number of confirmed Ebola deaths,Spain,10/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,10/10/2014,0
Cumulative number of confirmed Ebola deaths,United States of America,10/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,10/10/2014,0
Cumulative number of confirmed Ebola cases,Guinea,08/10/2014,1044
Cumulative number of probable Ebola cases,Guinea,08/10/2014,180
Cumulative number of suspected Ebola cases,Guinea,08/10/2014,74
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,08/10/2014,1298
Cumulative number of confirmed Ebola cases,Liberia,08/10/2014,941
Cumulative number of probable Ebola cases,Liberia,08/10/2014,1795
Cumulative number of suspected Ebola cases,Liberia,08/10/2014,1188
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,08/10/2014,3924
Cumulative number of confirmed Ebola cases,Sierra Leone,08/10/2014,2455
Cumulative number of probable Ebola cases,Sierra Leone,08/10/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,08/10/2014,297
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,08/10/2014,2789
Cumulative number of confirmed Ebola cases,Nigeria,08/10/2014,19
Cumulative number of probable Ebola cases,Nigeria,08/10/2014,1
Cumulative number of suspected Ebola cases,Nigeria,08/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,08/10/2014,20
Cumulative number of confirmed Ebola cases,Senegal,08/10/2014,1
Cumulative number of probable Ebola cases,Senegal,08/10/2014,0
Cumulative number of suspected Ebola cases,Senegal,08/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,08/10/2014,1
Cumulative number of confirmed Ebola cases,United States of America,08/10/2014,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,08/10/2014,1
Number of confirmed Ebola cases in the last 21 days,Guinea,08/10/2014,253
Number of probable Ebola cases in the last 21 days,Guinea,08/10/2014,13
Number of suspected Ebola cases in the last 21 days,Guinea,08/10/2014,65
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,08/10/2014,331
Number of confirmed Ebola cases in the last 21 days,Liberia,08/10/2014,136
Number of probable Ebola cases in the last 21 days,Liberia,08/10/2014,567
Number of suspected Ebola cases in the last 21 days,Liberia,08/10/2014,651
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,08/10/2014,1354
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,08/10/2014,924
Number of probable Ebola cases in the last 21 days,Sierra Leone,08/10/2014,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,08/10/2014,190
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,08/10/2014,1114
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,08/10/2014,24
Proportion of probable Ebola cases that are from the last 21 days,Guinea,08/10/2014,7
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,08/10/2014,88
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,08/10/2014,26
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,08/10/2014,14
Proportion of probable Ebola cases that are from the last 21 days,Liberia,08/10/2014,32
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,08/10/2014,55
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,08/10/2014,34
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,08/10/2014,38
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,08/10/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,08/10/2014,64
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,08/10/2014,40
Cumulative number of confirmed Ebola deaths,Guinea,08/10/2014,587
Cumulative number of probable Ebola deaths,Guinea,08/10/2014,179
Cumulative number of suspected Ebola deaths,Guinea,08/10/2014,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,08/10/2014,768
Cumulative number of confirmed Ebola deaths,Liberia,08/10/2014,1018
Cumulative number of probable Ebola deaths,Liberia,08/10/2014,701
Cumulative number of suspected Ebola deaths,Liberia,08/10/2014,491
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,08/10/2014,2210
Cumulative number of confirmed Ebola deaths,Sierra Leone,08/10/2014,725
Cumulative number of probable Ebola deaths,Sierra Leone,08/10/2014,123
Cumulative number of suspected Ebola deaths,Sierra Leone,08/10/2014,31
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,08/10/2014,879
Cumulative number of confirmed Ebola deaths,Nigeria,08/10/2014,7
Cumulative number of probable Ebola deaths,Nigeria,08/10/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,08/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,08/10/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,08/10/2014,0
Cumulative number of probable Ebola deaths,Senegal,08/10/2014,0
Cumulative number of suspected Ebola deaths,Senegal,08/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,08/10/2014,0
Cumulative number of confirmed Ebola deaths,United States of America,08/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,08/10/2014,0
Cumulative number of confirmed Ebola cases,Guinea,03/10/2014,977
Cumulative number of probable Ebola cases,Guinea,03/10/2014,177
Cumulative number of suspected Ebola cases,Guinea,03/10/2014,45
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,03/10/2014,1199
Cumulative number of confirmed Ebola cases,Liberia,03/10/2014,931
Cumulative number of probable Ebola cases,Liberia,03/10/2014,1713
Cumulative number of suspected Ebola cases,Liberia,03/10/2014,1190
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,03/10/2014,3834
Cumulative number of confirmed Ebola cases,Sierra Leone,03/10/2014,2179
Cumulative number of probable Ebola cases,Sierra Leone,03/10/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,03/10/2014,221
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,03/10/2014,2437
Cumulative number of confirmed Ebola cases,Nigeria,03/10/2014,19
Cumulative number of probable Ebola cases,Nigeria,03/10/2014,1
Cumulative number of suspected Ebola cases,Nigeria,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,03/10/2014,20
Cumulative number of confirmed Ebola cases,Senegal,03/10/2014,1
Cumulative number of probable Ebola cases,Senegal,03/10/2014,0
Cumulative number of suspected Ebola cases,Senegal,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,03/10/2014,1
Cumulative number of confirmed Ebola cases,United States of America,03/10/2014,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,03/10/2014,1
Cumulative number of confirmed Ebola deaths,Guinea,03/10/2014,562
Cumulative number of probable Ebola deaths,Guinea,03/10/2014,177
Cumulative number of suspected Ebola deaths,Guinea,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,03/10/2014,739
Cumulative number of confirmed Ebola deaths,Liberia,03/10/2014,934
Cumulative number of probable Ebola deaths,Liberia,03/10/2014,677
Cumulative number of suspected Ebola deaths,Liberia,03/10/2014,458
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,03/10/2014,2069
Cumulative number of confirmed Ebola deaths,Sierra Leone,03/10/2014,575
Cumulative number of probable Ebola deaths,Sierra Leone,03/10/2014,37
Cumulative number of suspected Ebola deaths,Sierra Leone,03/10/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,03/10/2014,623
Cumulative number of confirmed Ebola deaths,Nigeria,03/10/2014,7
Cumulative number of probable Ebola deaths,Nigeria,03/10/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,03/10/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,03/10/2014,0
Cumulative number of probable Ebola deaths,Senegal,03/10/2014,0
Cumulative number of suspected Ebola deaths,Senegal,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,03/10/2014,0
Cumulative number of confirmed Ebola deaths,United States of America,03/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,03/10/2014,0
Cumulative number of confirmed Ebola cases,Guinea,01/10/2014,950
Cumulative number of probable Ebola cases,Guinea,01/10/2014,170
Cumulative number of suspected Ebola cases,Guinea,01/10/2014,37
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,01/10/2014,1157
Cumulative number of confirmed Ebola cases,Liberia,01/10/2014,927
Cumulative number of probable Ebola cases,Liberia,01/10/2014,1656
Cumulative number of suspected Ebola cases,Liberia,01/10/2014,1113
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,01/10/2014,3696
Cumulative number of confirmed Ebola cases,Sierra Leone,01/10/2014,2076
Cumulative number of probable Ebola cases,Sierra Leone,01/10/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,01/10/2014,191
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,01/10/2014,2304
Cumulative number of confirmed Ebola cases,Nigeria,01/10/2014,19
Cumulative number of probable Ebola cases,Nigeria,01/10/2014,1
Cumulative number of suspected Ebola cases,Nigeria,01/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,01/10/2014,20
Cumulative number of confirmed Ebola cases,Senegal,01/10/2014,1
Cumulative number of probable Ebola cases,Senegal,01/10/2014,0
Cumulative number of suspected Ebola cases,Senegal,01/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,01/10/2014,1
Number of confirmed Ebola cases in the last 21 days,Guinea,01/10/2014,230
Number of probable Ebola cases in the last 21 days,Guinea,01/10/2014,14
Number of suspected Ebola cases in the last 21 days,Guinea,01/10/2014,23
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,01/10/2014,270
Number of confirmed Ebola cases in the last 21 days,Liberia,01/10/2014,280
Number of probable Ebola cases in the last 21 days,Liberia,01/10/2014,687
Number of suspected Ebola cases in the last 21 days,Liberia,01/10/2014,672
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,01/10/2014,1639
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,01/10/2014,788
Number of probable Ebola cases in the last 21 days,Sierra Leone,01/10/2014,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,01/10/2014,106
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,01/10/2014,894
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,01/10/2014,24
Proportion of probable Ebola cases that are from the last 21 days,Guinea,01/10/2014,8
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,01/10/2014,62
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,01/10/2014,23
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,01/10/2014,30
Proportion of probable Ebola cases that are from the last 21 days,Liberia,01/10/2014,42
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,01/10/2014,60
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,01/10/2014,44
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,01/10/2014,38
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,01/10/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,01/10/2014,56
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,01/10/2014,39
Cumulative number of confirmed Ebola deaths,Guinea,01/10/2014,535
Cumulative number of probable Ebola deaths,Guinea,01/10/2014,170
Cumulative number of suspected Ebola deaths,Guinea,01/10/2014,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,01/10/2014,710
Cumulative number of confirmed Ebola deaths,Liberia,01/10/2014,890
Cumulative number of probable Ebola deaths,Liberia,01/10/2014,664
Cumulative number of suspected Ebola deaths,Liberia,01/10/2014,444
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,01/10/2014,1998
Cumulative number of confirmed Ebola deaths,Sierra Leone,01/10/2014,574
Cumulative number of probable Ebola deaths,Sierra Leone,01/10/2014,37
Cumulative number of suspected Ebola deaths,Sierra Leone,01/10/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,01/10/2014,622
Cumulative number of confirmed Ebola deaths,Nigeria,01/10/2014,7
Cumulative number of probable Ebola deaths,Nigeria,01/10/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,01/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,01/10/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,01/10/2014,0
Cumulative number of probable Ebola deaths,Senegal,01/10/2014,0
Cumulative number of suspected Ebola deaths,Senegal,01/10/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,01/10/2014,0
Cumulative number of confirmed Ebola cases,Guinea,26/09/2014,876
Cumulative number of probable Ebola cases,Guinea,26/09/2014,162
Cumulative number of suspected Ebola cases,Guinea,26/09/2014,36
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,26/09/2014,1074
Cumulative number of confirmed Ebola cases,Liberia,26/09/2014,914
Cumulative number of probable Ebola cases,Liberia,26/09/2014,1539
Cumulative number of suspected Ebola cases,Liberia,26/09/2014,1005
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,26/09/2014,3458
Cumulative number of confirmed Ebola cases,Sierra Leone,26/09/2014,1816
Cumulative number of probable Ebola cases,Sierra Leone,26/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,26/09/2014,168
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,26/09/2014,2021
Cumulative number of confirmed Ebola cases,Nigeria,26/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,26/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,26/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,26/09/2014,20
Cumulative number of confirmed Ebola cases,Senegal,26/09/2014,1
Cumulative number of probable Ebola cases,Senegal,26/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,26/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,26/09/2014,1
Cumulative number of confirmed Ebola deaths,Guinea,26/09/2014,481
Cumulative number of probable Ebola deaths,Guinea,26/09/2014,162
Cumulative number of suspected Ebola deaths,Guinea,26/09/2014,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,26/09/2014,648
Cumulative number of confirmed Ebola deaths,Liberia,26/09/2014,792
Cumulative number of probable Ebola deaths,Liberia,26/09/2014,623
Cumulative number of suspected Ebola deaths,Liberia,26/09/2014,415
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,26/09/2014,1830
Cumulative number of confirmed Ebola deaths,Sierra Leone,26/09/2014,557
Cumulative number of probable Ebola deaths,Sierra Leone,26/09/2014,37
Cumulative number of suspected Ebola deaths,Sierra Leone,26/09/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,26/09/2014,605
Cumulative number of confirmed Ebola deaths,Nigeria,26/09/2014,7
Cumulative number of probable Ebola deaths,Nigeria,26/09/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,26/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,26/09/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,26/09/2014,0
Cumulative number of probable Ebola deaths,Senegal,26/09/2014,0
Cumulative number of suspected Ebola deaths,Senegal,26/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,26/09/2014,0
Cumulative number of confirmed Ebola cases,Guinea,24/09/2014,832
Cumulative number of probable Ebola cases,Guinea,24/09/2014,162
Cumulative number of suspected Ebola cases,Guinea,24/09/2014,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,24/09/2014,1022
Cumulative number of confirmed Ebola cases,Liberia,24/09/2014,890
Cumulative number of probable Ebola cases,Liberia,24/09/2014,1469
Cumulative number of suspected Ebola cases,Liberia,24/09/2014,921
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,24/09/2014,3280
Cumulative number of confirmed Ebola cases,Sierra Leone,24/09/2014,1745
Cumulative number of probable Ebola cases,Sierra Leone,24/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,24/09/2014,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,24/09/2014,1940
Cumulative number of confirmed Ebola cases,Nigeria,24/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,24/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,24/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,24/09/2014,20
Cumulative number of confirmed Ebola cases,Senegal,24/09/2014,1
Cumulative number of probable Ebola cases,Senegal,24/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,24/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,24/09/2014,1
Number of confirmed Ebola cases in the last 21 days,Guinea,24/09/2014,256
Number of probable Ebola cases in the last 21 days,Guinea,24/09/2014,14
Number of suspected Ebola cases in the last 21 days,Guinea,24/09/2014,22
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,24/09/2014,292
Number of confirmed Ebola cases in the last 21 days,Liberia,24/09/2014,469
Number of probable Ebola cases in the last 21 days,Liberia,24/09/2014,648
Number of suspected Ebola cases in the last 21 days,Liberia,24/09/2014,590
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,24/09/2014,1707
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,24/09/2014,644
Number of probable Ebola cases in the last 21 days,Sierra Leone,24/09/2014,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,24/09/2014,93
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,24/09/2014,737
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,24/09/2014,31
Proportion of probable Ebola cases that are from the last 21 days,Guinea,24/09/2014,9
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,24/09/2014,79
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,24/09/2014,29
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,24/09/2014,53
Proportion of probable Ebola cases that are from the last 21 days,Liberia,24/09/2014,44
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,24/09/2014,64
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,24/09/2014,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,24/09/2014,37
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,24/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,24/09/2014,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,24/09/2014,38
Cumulative number of confirmed Ebola deaths,Guinea,24/09/2014,468
Cumulative number of probable Ebola deaths,Guinea,24/09/2014,162
Cumulative number of suspected Ebola deaths,Guinea,24/09/2014,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,24/09/2014,635
Cumulative number of confirmed Ebola deaths,Liberia,24/09/2014,671
Cumulative number of probable Ebola deaths,Liberia,24/09/2014,593
Cumulative number of suspected Ebola deaths,Liberia,24/09/2014,413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,24/09/2014,1677
Cumulative number of confirmed Ebola deaths,Sierra Leone,24/09/2014,552
Cumulative number of probable Ebola deaths,Sierra Leone,24/09/2014,34
Cumulative number of suspected Ebola deaths,Sierra Leone,24/09/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,24/09/2014,597
Cumulative number of confirmed Ebola deaths,Nigeria,24/09/2014,7
Cumulative number of probable Ebola deaths,Nigeria,24/09/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,24/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,24/09/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,24/09/2014,0
Cumulative number of probable Ebola deaths,Senegal,24/09/2014,0
Cumulative number of suspected Ebola deaths,Senegal,24/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,24/09/2014,0
Cumulative number of confirmed Ebola cases,Guinea,22/09/2014,818
Cumulative number of probable Ebola cases,Guinea,22/09/2014,162
Cumulative number of suspected Ebola cases,Guinea,22/09/2014,28
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,22/09/2014,1008
Cumulative number of confirmed Ebola cases,Liberia,22/09/2014,863
Cumulative number of probable Ebola cases,Liberia,22/09/2014,1342
Cumulative number of suspected Ebola cases,Liberia,22/09/2014,817
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,22/09/2014,3022
Cumulative number of confirmed Ebola cases,Sierra Leone,22/09/2014,1640
Cumulative number of probable Ebola cases,Sierra Leone,22/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,22/09/2014,136
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,22/09/2014,1813
Cumulative number of confirmed Ebola cases,Nigeria,22/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,22/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,22/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,22/09/2014,20
Cumulative number of confirmed Ebola cases,Senegal,22/09/2014,1
Cumulative number of probable Ebola cases,Senegal,22/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,22/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,22/09/2014,1
Cumulative number of confirmed Ebola deaths,Guinea,22/09/2014,465
Cumulative number of probable Ebola deaths,Guinea,22/09/2014,162
Cumulative number of suspected Ebola deaths,Guinea,22/09/2014,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,22/09/2014,632
Cumulative number of confirmed Ebola deaths,Liberia,22/09/2014,670
Cumulative number of probable Ebola deaths,Liberia,22/09/2014,544
Cumulative number of suspected Ebola deaths,Liberia,22/09/2014,364
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,22/09/2014,1578
Cumulative number of confirmed Ebola deaths,Sierra Leone,22/09/2014,545
Cumulative number of probable Ebola deaths,Sierra Leone,22/09/2014,37
Cumulative number of suspected Ebola deaths,Sierra Leone,22/09/2014,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,22/09/2014,593
Cumulative number of confirmed Ebola deaths,Nigeria,22/09/2014,7
Cumulative number of probable Ebola deaths,Nigeria,22/09/2014,1
Cumulative number of suspected Ebola deaths,Nigeria,22/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,22/09/2014,8
Cumulative number of confirmed Ebola deaths,Senegal,22/09/2014,0
Cumulative number of probable Ebola deaths,Senegal,22/09/2014,0
Cumulative number of suspected Ebola deaths,Senegal,22/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,22/09/2014,0
Cumulative number of confirmed Ebola cases,Guinea,18/09/2014,750
Cumulative number of probable Ebola cases,Guinea,18/09/2014,162
Cumulative number of suspected Ebola cases,Guinea,18/09/2014,30
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,18/09/2014,942
Cumulative number of confirmed Ebola cases,Liberia,18/09/2014,812
Cumulative number of probable Ebola cases,Liberia,18/09/2014,1233
Cumulative number of suspected Ebola cases,Liberia,18/09/2014,675
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,18/09/2014,2710
Cumulative number of confirmed Ebola cases,Sierra Leone,18/09/2014,1513
Cumulative number of probable Ebola cases,Sierra Leone,18/09/2014,37
Cumulative number of suspected Ebola cases,Sierra Leone,18/09/2014,123
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,18/09/2014,1673
Cumulative number of confirmed Ebola cases,Nigeria,18/09/2014,19
Cumulative number of probable Ebola cases,Nigeria,18/09/2014,1
Cumulative number of suspected Ebola cases,Nigeria,18/09/2014,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,18/09/2014,21
Cumulative number of confirmed Ebola cases,Senegal,18/09/2014,1
Cumulative number of probable Ebola cases,Senegal,18/09/2014,0
Cumulative number of suspected Ebola cases,Senegal,18/09/2014,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,18/09/2014,1
Number of confirmed Ebola cases in the last 21 days,Guinea,18/09/2014,266
Number of probable Ebola cases in the last 21 days,Guinea,18/09/2014,21
Number of suspected Ebola cases in the last 21 days,Guinea,18/09/2014,25
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,18/09/2014,312
Number of confirmed Ebola cases in the last 21 days,Liberia,18/09/2014,462
Number of probable Ebola cases in the last 21 days,Liberia,18/09/2014,596
Number of suspected Ebola cases in the last 21 days,Liberia,18/09/2014,398
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,18/09/2014,1429
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,18/09/2014,585
Number of probable Ebola cases in the last 21 days,Sierra Leone,18/09/2014,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,18/09/2014,69
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,18/09/2014,653
Number of confirmed Ebola cases in the last 21 days,Nigeria,18/09/2014,5
Number of probable Ebola cases in the last 21 days,Nigeria,18/09/2014,0
Number of suspected Ebola cases in the last 21 days,Nigeria,18/09/2014,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,18/09/2014,6
Number of confirmed Ebola cases in the last 21 days,Senegal,18/09/2014,1
Number of probable Ebola cases in the last 21 days,Senegal,18/09/2014,0
Number of suspected Ebola cases in the last 21 days,Senegal,18/09/2014,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,18/09/2014,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,18/09/2014,36
Proportion of probable Ebola cases that are from the last 21 days,Guinea,18/09/2014,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,18/09/2014,83
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,18/09/2014,33
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,18/09/2014,57
Proportion of probable Ebola cases that are from the last 21 days,Liberia,18/09/2014,46
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,18/09/2014,59
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,18/09/2014,52
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,18/09/2014,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,18/09/2014,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,18/09/2014,56
